path,sz,dt,latlong
/mnt/4C74F47B74F468DA/Pictures/IMG_3819-2019-06-16 115550.JPG,1607250,2019:06:14 22:03:58,"(35.95521666666667, -86.79739444444444)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3821-2019-08-25 022653.JPG,1876784,2019:06:15 19:52:00,"(30.262172222222222, -85.97436388888889)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3822-2019-08-30 224552.JPG,227298,2019:06:16 16:12:54,"(30.277019444444445, -86.015725)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3823-2019-12-12 050828.JPG,266822,2019:06:16 17:57:07,"(30.375069444444446, -86.25476944444445)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3824-2019-08-25 021835.JPG,266238,2019:06:16 17:57:09,"(30.375069444444446, -86.25476944444445)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3825-2020-03-28 040524.JPG,1402336,2019:06:18 06:31:15,"(30.10848888888889, -85.74523888888889)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3826-2019-12-12 050802.JPG,1451975,2019:06:18 06:31:17,"(30.10848888888889, -85.74523888888889)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3827-2019-06-20 145845.JPG,1984322,2019:06:18 06:31:30,"(30.107947222222222, -85.74585833333333)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3828-2020-03-28 040527.JPG,2062137,2019:06:18 06:31:32,"(30.107947222222222, -85.74585833333333)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3829-2020-03-28 040528.JPG,2120758,2019:06:18 06:36:05,"(30.098613888888888, -85.75734722222222)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3883-2019-06-19 002513.JPG,1905641,2019:06:18 19:25:13,"(30.276425, -86.01454166666667)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3884-2019-06-19 002514.JPG,1957684,2019:06:18 19:25:14,"(30.276425, -86.01454166666667)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3886-2019-06-20 145845.JPG,1952592,2019:06:18 19:27:57,"(30.276466666666664, -86.01445)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3887-2021-10-02 181324.JPG,1838666,2019:06:18 19:28:01,"(30.276474999999998, -86.01444166666667)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3888-2019-06-20 145844.JPG,2081129,2019:06:18 19:28:04,"(30.276466666666664, -86.01443611111111)"
